Geneid,SSCF31.bam,SSCF32.bam,SSCF33.bam,SSCF38.bam,SSCF39.bam
aqp10a,0,0,0,0,0
aqp12,32,108,23,25,80
aqp4,34,46,10,64,83
aqp7,112,37,48,26,53
aqp9b,1220,1315,870,998,2184
aqr,959,1185,572,912,1282
araf,874,750,817,839,589
arap2,2333,1205,1601,1510,968
arap3,926,1225,855,703,1158
areg,148,105,101,121,618
arel1,789,833,738,628,681
arf2b,2917,4013,2134,2873,3675
arf3a,352,300,481,189,315
arf6b,3411,5092,4029,5537,4704
arfgap1,1039,1324,1063,871,963
arfgap2,1529,1763,1356,1296,1750
arfgap3,916,907,1238,772,864
arfgef1,927,1530,890,1102,1177
arfgef2,284,734,294,435,519
arfgef3,174,231,115,94,189
arfip1,2938,2800,3039,2464,2605
arfip2a,468,625,451,555,518
arfip2b,1795,2695,1390,2562,2442
arfrp1,2771,2540,2235,1801,2608
arg1,2,0,0,2,4
arg2,867,667,778,571,889
arglu1b,2189,2727,1395,1547,2724
arhgap10,1664,2076,1813,2381,1877
arhgap1,1368,1501,1115,931,1115
arhgap12b,1055,1084,847,720,947
arhgap17a,590,864,521,96,625
arhgap17b,85,124,88,951,93
arhgap18,1779,1246,1300,2282,1831
arhgap19,4022,3378,3896,994,3578
arhgap21b,2082,2822,2761,2683,2638
arhgap22,27,7,21,14,11
arhgap23a,76,248,86,37,85
arhgap24,1030,507,303,643,596
arhgap25,186,93,73,296,47
arhgap27,405,296,204,229,227
arhgap27l,492,354,541,255,306
arhgap28,123,222,98,238,232
arhgap31,40,29,35,17,48
arhgap32a,2022,2715,996,1670,2094
arhgap32b,503,877,328,384,433
arhgap35a,1896,1668,1372,1490,1611
arhgap35b,3670,2709,2771,2853,2902
arhgap36,880,1049,625,633,1036
arhgap39,57,53,55,52,51
arhgap42a,246,158,163,256,103
arhgap45b,1248,1277,688,984,1483
arhgap46a,2435,2047,2386,1815,1564
arhgap4b,20,32,30,5,49
arhgap5,1955,1711,1713,1490,2179
arhgap9,149,168,283,273,111
arhgdia,4304,4658,5014,5737,5270
arhgdig,38,15,14,30,37
arhgef10,257,160,276,163,63
arhgef10la,543,676,436,703,382
arhgef11,384,534,362,251,491
arhgef12a,770,1404,726,786,1251
arhgef15b,614,656,410,514,737
arhgef16,2338,2305,1361,1781,1912
arhgef18a,1146,1704,858,1140,1441
arhgef18b,1636,1998,1967,1738,1688
arhgef19,158,428,161,268,956
arhgef1a,40,9,27,32,16
arhgef1b,3138,3003,1622,2145,2987
arhgef2,178,294,144,133,352
arhgef25a,260,249,207,146,415
arhgef25b,13,10,8,0,20
arhgef28a,584,736,489,455,545
arhgef33,40,44,18,23,20
arhgef3,45,38,39,16,59
arhgef37,3181,2811,1398,2980,2546
arhgef38,67,95,62,41,52
arhgef39,615,535,365,277,425
arhgef3l,236,144,80,192,222
arhgef40,162,193,90,71,210
arhgef5,677,2171,279,827,1284
arhgef6,770,1073,668,1016,915
arhgef7a,678,890,450,659,1165
arid1aa,1284,2089,901,1326,1776
arid1ab,623,731,517,825,790
arid1b,402,245,107,455,132
arid2,1405,1291,838,1026,1230
arid3a,34,69,11,41,22
arid4a,1612,2361,1530,1950,2331
arid4b,241,217,214,312,229
arid5a,30,38,22,6,39
arid5b,1786,1672,1490,1484,1621
arid6,0,2,0,5,2
arih1,1746,2249,1439,1441,2213
arih2,4356,3727,3136,3106,4287
ark2n,1179,999,1155,940,1083
arl10,421,481,501,538,338
arl11,4,0,0,0,8
arl1,1513,1766,86,1476,2021
arl13a,163,135,587,57,46
arl13b,886,1246,0,711,1351
arl14,2,0,1822,2,2
arl14ep,1906,2481,16,2133,2261
arl16,6,12,878,19,26
arl2,395,424,358,296,254
arl2bp,1824,1472,1345,1011,1181
arl3b,294,428,268,264,130
arl3l1,0,0,2,0,0
arl4aa,1814,1738,1423,1604,1536
arl4d,190,92,95,118,130
arl5a,3283,4148,3004,3071,4938
arl5c,2,2,6,2,2
