Geneid,SSCN43.bam,SSCN44.bam,SSCP22.bam,SSCP26.bam,SSCP28.bam,SSCP29.bam,SSCP30.bam
aimp1a,2218,3942,3570,2771,2554,1726,2439
aimp2,659,1049,1010,724,501,561,824
aip,3717,2071,1921,2546,2777,2972,3336
aipl1,2,2,4,6,8,32,4
aire,44,100,136,87,44,125,46
airim,347,729,519,342,502,752,515
ajap1,47,43,59,319,14,45,61
ajm1,55,14,60,23,40,52,64
ajuba,315,228,1321,364,313,301,397
ak1,1496,1442,2682,2896,1677,1140,1057
ak2,1854,2166,4940,1708,1286,2022,2358
ak3,850,321,829,284,840,362,881
ak4,3752,6930,4131,3113,3889,1818,3679
ak5,14,2,21,10,4,16,0
ak6,749,1749,1264,901,986,1066,1012
ak7a,540,588,918,1988,533,1215,809
ak7b,129,245,147,1302,150,604,138
ak8,208,371,599,674,192,462,345
ak9,2435,3274,1213,6679,1150,2343,657
akap10,434,463,639,419,578,590,485
akap11,1510,418,591,382,573,494,690
akap12a,56,33,36,2,44,12,52
akap12b,3796,1927,2752,285,6277,578,2592
akap17a,405,223,752,414,417,514,465
akap1b,2442,2180,2169,2673,1959,1901,2390
akap6,40,32,130,145,52,80,65
akap8l,2566,2044,4206,2772,3071,2999,3279
akap9,2067,670,3526,1619,1514,1263,1824
akip1,283,182,965,212,244,395,535
akirin1,1420,1849,940,1447,1255,1158,1170
akirin2,1279,956,1519,1708,1092,1866,1636
akna,372,166,238,651,232,486,202
aknad1,182,3,3,21,10,17,5
akr1a1a,37,8,70,105,161,28,28
akr1b1.2,3270,2515,8440,3498,4408,8390,5652
akt1,1985,1659,1769,1366,2205,1020,2347
akt1s1,5058,7058,2973,4965,2253,2945,2686
akt2,1510,403,1558,970,1271,1002,1544
akt3a,807,269,608,1054,374,1252,887
akt3b,2555,721,3007,1524,2210,3630,3596
aktip,1064,1057,1511,1066,1230,1028,1340
alad,743,420,852,542,1156,932,1193
alas1,3027,4942,6855,3678,6037,2926,6592
alas2,350,186,63,4,389,22,126
alcama,3269,1943,9307,4305,3731,5569,6141
aldh16a1,1546,1532,1667,1141,1051,1147,1026
aldh18a1,1049,602,1229,800,1136,969,1127
aldh1a2,8385,3075,3392,1992,4929,1800,5397
aldh3a2b,1800,948,686,1840,1059,596,703
aldh3b1,768,1043,491,797,678,452,305
aldh3b4,25,16,52,64,20,129,658
aldh4a1,2069,2573,5379,2855,3359,1392,2090
aldh5a1,1231,1840,4162,1756,1600,2274,2396
aldh6a1,195,184,192,186,283,433,349
aldh7a1,3907,3756,2898,3483,4386,2350,4108
aldh8a1,32,12,30,11,29,31,23
aldoab,2556,2723,939,1371,1399,469,1020
aldob,6070,8557,16415,9633,7189,2203,2588
aldoca,0,0,4,2,1,0,1
aldocb,1983,3439,3155,2579,2103,2022,2506
alg10,209,65,153,140,164,88,212
alg1,130,128,583,447,467,516,510
alg11,373,443,247,201,151,198,190
alg12,185,170,2090,168,141,164,358
