Geneid,SSCN43.bam,SSCN44.bam,SSCP22.bam,SSCP26.bam,SSCP28.bam,SSCP29.bam,SSCP30.bam
ldha,1770,973,973,880,827,686,1668
ldhba,2915,4815,1128,6863,5062,1961,1065
ldhd,371,342,793,274,363,429,407
ldlra,26,1,5,6,9,33,15
ldlrad2,17,10,81,33,32,98,64
ldlrad3,213,254,297,210,289,288,322
ldlrap1b,1203,2183,2863,2163,2025,1326,2925
ldlrb,848,93,510,489,1283,323,1792
lef1,85,57,259,64,93,192,171
lemd3,692,71,102,405,429,169,398
leng1,795,1269,959,1047,930,1138,1331
leng8,3671,2221,3614,4923,4079,4140,4146
leng9,434,418,1034,686,928,439,793
leo1,1606,2033,2184,2055,2131,1657,1646
lepr,474,500,5047,1403,1105,985,1576
leprotl1,1630,2016,2627,1469,2303,2039,2804
letm1,2101,1171,2258,2198,1915,1767,1985
letm2,1234,1313,2125,1992,1154,1678,1050
letmd1,727,1070,1579,1048,1294,1039,1126
lfng,137,124,102,64,317,122,236
lgals2a,8333,9104,4145,698,3268,1579,9075
lgals2b,20,4,30,0,186,22,4
lgals3a,1020,1526,2276,1240,1672,1136,1276
lgals3b,322,45,1795,107,298,72,47
lgi1b,72,16,224,72,93,75,143
lgi2a,19,13,62,19,12,41,57
lgi3,8,2,50,159,1,54,17
lgmn,629,409,598,408,878,771,1026
lgr4,1792,679,2269,789,1450,1442,2007
lgsn,0,6,24,0,0,0,2
lhb,2,2,9,2,12,12,12
lhfpl2a,72,84,152,139,131,123,378
